;X;constituency_num;constituency_name;state_num;state_name;union;spd;leftist;greens;fdp;afd;others;all_votes
50;50;50;Braunschweig;3;Niedersachsen;42534;38695;13673;17295;14684;12268;7508;146657
51;51;51;Helmstedt – Wolfsburg;3;Niedersachsen;47037;40740;9050;8064;10988;14862;5271;136012
52;52;52;Goslar – Northeim – Osterode;3;Niedersachsen;48131;48016;9521;9929;13734;15132;5327;149790
53;53;53;Goettingen;3;Niedersachsen;51177;47871;14748;19676;15421;13446;6985;169324
54;54;54;Bremen I;4;Bremen;48458;45729;26425;23568;19138;15539;7519;186376
55;55;55;Bremen II – Bremerhaven;4;Bremen;34951;43215;18204;13165;11918;17705;6789;145947
56;56;56;Prignitz – Ostprignitz-Ruppin – Havelland I;12;Brandenburg;35215;24884;19447;4231;6555;22183;5893;118408
57;57;57;Uckermark – Barnim I;12;Brandenburg;36160;21650;23870;5187;7021;26605;7520;128013
58;58;58;Oberhavel – Havelland II;12;Brandenburg;51968;33856;26091;11684;13912;33987;11112;182610
59;59;59;Maerkisch-Oderland – Barnim II;12;Brandenburg;42113;25908;34632;7800;11007;34701;11535;167696
60;60;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Flaeming I;12;Brandenburg;35556;26055;20925;5238;8194;22633;7544;126145
61;61;61;Potsdam – Potsdam-Mittelmark II – Teltow-Flaeming II;12;Brandenburg;48015;35773;35106;19079;17768;26133;11995;193869
